matricula,nome,data_nascimento,genero,email,plano_id,data_matricula,matricula_ativa,data_cancelamento
1,Kevin Hernandez,2003-12-12,Outro,briansanchez@example.org,1,2024-06-03,True,
2,Shane Nguyen MD,1988-03-06,Outro,arnoldpatrick@example.net,2,2024-03-06,True,
3,James Herrera,1994-12-21,Masculino,russellteresa@example.org,1,2024-10-16,True,
4,Katelyn Thomas,1974-03-12,Outro,russellwhite@example.net,3,2024-02-20,True,
5,John Potter,1972-12-26,Outro,sheena83@example.com,2,2023-10-22,True,
6,Greg Beard,1989-01-30,Masculino,sharon89@example.net,1,2024-04-08,True,
7,Marc Palmer,1968-01-19,Masculino,elainetaylor@example.com,3,2024-02-01,True,
8,Alicia Spence,1983-05-07,Outro,ibradshaw@example.net,1,2024-04-01,False,2024-12-29
9,Gregory Adams,1976-03-23,Masculino,christie46@example.com,2,2023-10-13,False,2024-11-11
10,Steven Anderson,1966-09-26,Masculino,woodnathan@example.com,1,2024-07-06,False,2024-08-03
11,Jamie Ellis,1998-04-28,Feminino,jwhitehead@example.net,2,2025-01-10,True,
12,Kim Torres,1981-07-16,Masculino,pthompson@example.net,2,2024-10-01,True,
13,Suzanne Smith,1989-08-15,Masculino,gjacobson@example.com,2,2024-06-30,True,
14,Mrs. Angela Blackwell DVM,1980-08-31,Feminino,michael97@example.org,2,2024-06-23,False,2024-10-30
15,Matthew Thomas,1988-04-03,Masculino,bradleyjoshua@example.org,3,2023-06-05,False,2024-03-15
16,Kenneth Bentley,2006-02-14,Outro,johnstewart@example.org,1,2023-12-09,False,2024-07-08
17,Jacob Cummings,1984-08-31,Masculino,lallen@example.org,3,2024-08-11,False,2024-12-29
18,Kenneth Henry,1978-04-06,Outro,plee@example.net,3,2023-11-09,False,2024-02-28
19,Evan Williams,2004-11-05,Outro,craigsmith@example.com,1,2025-01-03,True,
20,Kimberly Horne,1967-09-26,Masculino,william05@example.org,3,2023-04-05,True,
21,Debra Burns,1990-11-08,Feminino,christensenluke@example.net,1,2024-01-04,True,
22,Willie House,1968-06-27,Masculino,hwashington@example.org,2,2024-09-03,False,2024-11-26
23,Sarah Green,1970-02-08,Feminino,gevans@example.net,3,2024-12-04,False,2025-02-01
24,Victoria Diaz DDS,1976-01-21,Masculino,michael87@example.org,2,2023-12-06,False,2024-04-04
25,Robert Snow,1994-09-24,Masculino,gjones@example.com,3,2023-11-11,False,2024-10-26
26,Jessica Brock,1964-04-25,Outro,rogersdavid@example.com,3,2023-07-17,True,
27,Daniel Morales,1998-10-03,Outro,wilsonjoan@example.org,3,2024-10-01,True,
28,Matthew Martin,1979-01-15,Outro,wespinoza@example.org,3,2024-08-09,True,
29,Regina Brown,1991-07-05,Masculino,melissacortez@example.com,2,2024-01-25,False,2024-07-30
30,Caleb Holmes,1983-01-01,Feminino,gyang@example.net,3,2024-08-02,True,
31,Mr. Daniel Pena Jr.,1969-11-08,Outro,daykatherine@example.com,2,2024-03-07,True,
32,Sarah Murphy,1990-05-07,Masculino,christopher44@example.net,1,2023-11-27,False,2024-01-21
33,Dillon Martinez,1971-06-21,Feminino,woodsrebecca@example.net,2,2024-09-16,True,
34,Debra Garrison,1984-08-18,Masculino,fergusonangela@example.com,3,2024-03-21,False,2025-02-25
35,Mary Fuller,1966-01-29,Masculino,johnsonmorgan@example.net,3,2025-01-09,False,2025-03-09
36,Hayley Miranda,1964-12-05,Feminino,ann77@example.net,3,2023-12-19,False,2023-12-29
37,Benjamin Wilkins,1968-01-16,Masculino,seandaniels@example.net,2,2025-03-28,True,
38,Nicholas Leblanc,1990-05-08,Masculino,greencassandra@example.net,3,2024-12-02,False,2024-12-07
39,Jacob Mccullough,1967-10-24,Outro,peter44@example.com,3,2023-08-07,False,2024-05-28
40,Eric Myers,1986-09-03,Outro,nathanielharris@example.com,2,2023-06-06,False,2023-10-06
41,Michael Stephens,1966-04-16,Masculino,armstronghannah@example.com,1,2023-10-30,False,2023-12-23
42,Daniel Bush,1976-10-18,Masculino,michaelmonroe@example.com,1,2024-11-20,True,
43,Regina Morales,1982-06-13,Masculino,lisa61@example.org,3,2024-11-20,True,
44,Michael Wheeler,1979-10-29,Outro,crystal83@example.org,2,2025-01-14,True,
45,Gwendolyn George,1967-05-16,Feminino,juliemahoney@example.com,2,2023-06-04,False,2024-11-09
46,Mr. Frank Torres,1967-12-04,Outro,mhart@example.com,2,2025-03-29,True,
47,Michael Wood,1984-10-21,Outro,bdavid@example.net,3,2023-10-29,True,
48,Amber Thomas,1988-01-20,Outro,ashley73@example.com,3,2024-02-28,False,2024-05-27
49,Craig Banks,1970-09-20,Outro,thomaswilliam@example.net,2,2023-07-06,True,
50,Mark Clarke,1994-07-21,Feminino,bensonnicholas@example.net,2,2024-12-22,True,
51,Michelle Wolfe,1987-06-27,Feminino,danielle59@example.org,1,2024-12-24,False,2025-02-09
52,Diane Stewart,2005-08-28,Outro,noahwhite@example.net,1,2024-12-13,True,
53,Shannon Coleman,1981-09-13,Outro,aross@example.com,2,2025-01-15,True,
54,Angela Bell,1967-01-12,Masculino,brittanyguerrero@example.org,2,2024-01-05,True,
55,Stephanie Alvarez,1968-05-05,Outro,penaheidi@example.com,3,2024-02-16,True,
56,Carla Phelps,2005-05-31,Outro,seth89@example.org,2,2024-02-04,False,2025-03-08
57,Larry Lewis,1979-12-17,Masculino,theodore96@example.net,1,2023-08-30,False,2023-12-04
58,Sarah Miller,1993-03-02,Feminino,kimberly55@example.org,1,2024-09-18,True,
59,Sarah Meyer,1999-03-24,Masculino,lauramurray@example.org,3,2024-07-18,True,
60,Gregory Thompson,1966-08-24,Masculino,brian28@example.com,3,2024-01-12,False,2024-11-09
61,Richard Bennett,1985-01-16,Masculino,clarknathan@example.net,3,2024-05-05,True,
62,Mary Young,1983-07-10,Masculino,ebrown@example.com,3,2024-08-21,False,2024-10-19
63,Lawrence Stone,1984-03-25,Outro,williamspam@example.org,1,2024-07-22,False,2024-08-15
64,Michael Robertson,1985-09-19,Outro,chadtran@example.com,3,2024-07-28,False,2024-12-24
65,Kendra Villarreal,1969-07-19,Masculino,wroth@example.com,3,2024-06-08,True,
66,Wesley Warren,2002-06-24,Outro,vaughntheresa@example.org,2,2023-04-09,False,2023-07-10
67,Robert Reyes,2000-09-23,Outro,parkerkristina@example.com,3,2023-11-26,False,2024-05-14
68,Harold Jackson,1965-02-15,Feminino,derek86@example.net,3,2023-11-21,False,2023-12-03
69,Teresa Marquez,1995-07-11,Masculino,taylorarmstrong@example.org,1,2024-10-23,True,
70,Richard Lucas,1993-05-03,Masculino,brandolph@example.com,2,2023-10-15,True,
71,Christian Jones,1978-04-08,Outro,vanessavargas@example.org,3,2023-09-19,True,
72,Margaret Ryan,1986-09-11,Outro,amyperez@example.com,1,2024-05-30,True,
73,Timothy Leach,1969-09-21,Masculino,omata@example.org,3,2024-02-24,True,
74,Randy Perkins,1997-07-06,Masculino,ebrown@example.org,1,2025-02-16,True,
75,Joseph Estes,2005-10-04,Feminino,robert08@example.org,1,2023-05-06,True,
76,Jonathan Mitchell,2001-08-16,Feminino,david65@example.org,3,2023-07-10,False,2024-10-12
77,Jennifer Bailey,1997-06-24,Masculino,james21@example.net,3,2023-04-12,True,
78,Shawn Brown,1986-08-29,Outro,edward07@example.net,3,2024-10-19,False,2024-11-02
79,Jose Reed,1968-12-09,Masculino,gcruz@example.net,2,2024-12-23,False,2025-02-20
80,Martha Lang,1984-10-06,Masculino,otravis@example.com,1,2023-07-12,True,
81,Paul Cole,1982-10-19,Outro,ucummings@example.org,2,2023-09-13,False,2024-07-06
