RELATÓRIO DIÁRIO DE FREQUÊNCIA
Data: 2025-04-04
Gerado em: 04/04/2025 19:42:45

RESUMO GERAL
Total de check-ins,400
Alunos únicos,100
Check-ins completos (entrada e saída),400
Duração média (minutos),1.5

DISTRIBUIÇÃO POR HORA
Hora,Total de check-ins
00:00,0
01:00,0
02:00,0
03:00,0
04:00,0
05:00,0
06:00,0
07:00,0
08:00,0
09:00,0
10:00,0
11:00,0
12:00,0
13:00,0
14:00,100
15:00,0
16:00,0
17:00,100
18:00,0
19:00,200
20:00,0
21:00,0
22:00,0
23:00,0

DISTRIBUIÇÃO POR PLANO
Plano,Total de check-ins
Básico,156
Premium,164
VIP,80

LISTA DE ALUNOS PRESENTES
ID,Nome,Entrada,Saída,Duração (min)
553,Marcelo Pereira,14:07:45,14:08:23,
554,Larissa Araújo,14:07:45,14:08:23,
555,Yasmin Almeida,14:07:45,14:08:23,
556,Carlos Santos,14:07:45,14:08:23,
557,Manuela Nunes,14:07:45,14:08:23,
558,Lucas Nunes,14:07:45,14:08:23,
559,Henrique Oliveira,14:07:45,14:08:23,
560,Leandro Rodrigues,14:07:45,14:08:23,
561,Valentina Souza,14:07:45,14:08:23,
562,Felipe Cardoso,14:07:45,14:08:23,
563,Diego Monteiro,14:07:45,14:08:23,
564,Vitor Vieira,14:07:45,14:08:23,
565,Felipe Campos,14:07:45,14:08:23,
566,Lucas Carvalho,14:07:45,14:08:23,
567,Paulo Silva,14:07:45,14:08:23,
568,Mariana Bezerra,14:07:45,14:08:23,
569,Diego Costa,14:07:45,14:08:23,
570,Lucas Barros,14:07:45,14:08:23,
571,Laura Rodrigues,14:07:45,14:08:23,
572,Henrique Campos,14:07:45,14:08:23,
573,Alice Rodrigues,14:07:45,14:08:23,
574,Rodrigo Alves,14:07:45,14:08:23,
575,Bruno Moreira,14:07:45,14:08:23,
576,Bruno Rodrigues,14:07:45,14:08:23,
577,Felipe Castro,14:07:45,14:08:23,
578,João Barbosa,14:07:45,14:08:23,
579,Eduardo Ferreira,14:07:45,14:08:23,
580,Bruno Silva,14:07:45,14:08:23,
581,Beatriz Cardoso,14:07:45,14:08:23,
582,Yasmin Nascimento,14:07:45,14:08:23,
583,Eduardo Barbosa,14:07:45,14:08:23,
584,Larissa Dias,14:07:45,14:08:23,
585,Eduarda Mendes,14:07:45,14:08:23,
586,Sophia Santos,14:07:45,14:08:23,
587,Henrique Oliveira,14:07:45,14:08:23,
588,Gabriela Lima,14:07:45,14:08:23,
589,Diego Dias,14:07:45,14:08:23,
590,Guilherme Nunes,14:07:45,14:08:23,
591,Rodrigo Barros,14:07:45,14:08:23,
592,Alice Pereira,14:07:45,14:08:23,
593,Miguel Fernandes,14:07:45,14:08:23,
594,Natália Barros,14:07:45,14:08:23,
595,Gustavo Moreira,14:07:45,14:08:23,
596,Clara Castro,14:07:45,14:08:23,
597,Sophia Souza,14:07:45,14:08:23,
598,Clara Ferreira,14:07:45,14:08:23,
599,Vitor Nascimento,14:07:45,14:08:23,
600,Lucas Santos,14:07:45,14:08:23,
601,Eduardo Rocha,14:07:45,14:08:23,
602,Leonardo Souza,14:07:45,14:08:23,
603,André Costa,14:07:45,14:08:23,
604,Bruno Nascimento,14:07:45,14:08:23,
605,Valentina Martins,14:07:45,14:08:23,
606,Isabella Carvalho,14:07:45,14:08:23,
607,Gustavo Vieira,14:07:45,14:08:23,
608,Rafael Costa,14:07:45,14:08:23,
609,Júlia Campos,14:07:45,14:08:23,
610,Ana Mendes,14:07:45,14:08:23,
611,Larissa Andrade,14:07:45,14:08:23,
612,Camila Silva,14:07:45,14:08:23,
613,Carlos Oliveira,14:07:45,14:08:23,
614,Amanda Almeida,14:07:45,14:08:23,
615,Amanda Moreira,14:07:45,14:08:23,
616,Camila Oliveira,14:07:45,14:08:23,
617,Guilherme Bezerra,14:07:45,14:08:23,
618,Felipe Araújo,14:07:45,14:08:23,
619,Isabella Teixeira,14:07:45,14:08:23,
620,Paulo Monteiro,14:07:45,14:08:23,
621,Vitor Souza,14:07:45,14:08:23,
622,Larissa Santos,14:07:45,14:08:23,
623,Vitor Rocha,14:07:45,14:08:23,
624,Carlos Carvalho,14:07:45,14:08:23,
625,Clara Pereira,14:07:45,14:08:23,
626,Vitor Moreira,14:07:45,14:08:23,
627,Eduardo Martins,14:07:45,14:08:23,
628,Maria Araújo,14:07:45,14:08:23,
629,Guilherme Souza,14:07:45,14:08:23,
630,Alice Alves,14:07:45,14:08:23,
631,Beatriz Monteiro,14:07:45,14:08:23,
632,Lucas Martins,14:07:45,14:08:23,
633,Sophia Dias,14:07:45,14:08:23,
634,Rafael Rodrigues,14:07:45,14:08:23,
635,Eduarda Costa,14:07:45,14:08:23,
636,Gabriela Nunes,14:07:45,14:08:23,
637,Yasmin Souza,14:07:45,14:08:23,
638,Rafael Ribeiro,14:07:45,14:08:23,
